title,price,rating_average,total_reviews,permalink
Tarjeta De Desarrollo Esp32 Wifi Bluetooth,4000.0,4.8,304,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=MLlG%2Fj5HeuAnJTYuPdAfhncWc1Uv7hj9TyGGiRSHJeeX56n9mSJ58fGguAdFZgUCjD4NEVNrbogPmr5IopugnCameeTGEFAaDrONVkP96kNO%2FWhg8ABZYszkqS2lAxvN28uYoTio8YoRoSNBK45mRhsP5fAezkTup3kwmAAcZvFE5loYm9vjM9bYDs7D3WlBZ90EhhAjAtPALfORW3VN2B0DD9f%2FWfhGtyoMrRjiWiRyNkoRJo%2FW5wyIBJo5255h3ZbG5yuX%2BLdoi2%2Fb6TMz2T2wH7ifG62sIrUXlQWFGcluiVj1U90PiBxGUt1C378PuhV0fWDYMYNoXcotqrYD4KXqOcEQQbFkYPt1ARzQxV39JkFgGWvlNIG%2Bh7Yuv7qfPpvjDAXXpzIQsfMHi4NEz%2BggVxI%2FojtKLvFNjQors1VBHehSHAx9pgu0ROwkjcCcL8XWZbNZyB9PR43WwNUg2P3h43rqvVn166uC4bXh24hvr8U5OQir8v2HwQmqNyqh9ZcK29GJ27z2ZWDva2wR2gf%2FX19EtpxDNfplLhPY%2BqC73CCP5QJuJX0wkFHZkfhv%2B1BTevUivHpH1pRO1M568hEI%2Bp4ADCdDUdxE78wmoDXPpyp7D2mpNg5kvwwhJrHunvaoL3PHR9ST7eEYUjQx72eDRFdMK69288wydCtA%2B56g6LASBVDpB50d0GgCOI4yGtFsueNa9PA7ViwMGOhG%2BQBd4B6cYFxhQHITN3C69tIKmwKiiR9NlTRgWOyM&rb=x#polycard_client=search-nordic&tracking_id=bcdf85fc-b08d-433b-9e5d-58f3bce899c9
Pantalla Oled Display 0.96p Arduino Raspberry Arm Esp32 I2c,8400.0,4.7,28,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=q%2B%2FOduXfWdX%2FVRFNIdsRgCS0Iju9fCDNLIhURRsMS4272TSMjjHo8Gax%2Bm8V8Q76iNgDVdnDfP7y3zmeWjSuU6cRnsNp0nwaSD1ZmDM1JEJE5gPSEFtl7rIHD01Zgsjum65CFApuh7po2gSg9J7RNsAcZi%2Bp8rxRU9M83F7img5C3lYW9FXT6ZAChVO29dzEyNE8Af10hEAScs5%2B5SwsOTtxiUg4nDaNhtyfGtKgzsBWe%2FqjMHZflv20fV3zgEdumzYc2YrDeX%2BpCHSb8HMAsrcXh36OE5K5%2B4%2BjO31Lv17Ggh%2FovmS8KsYDUsf8HB%2F3LKYA1CcdVTOZN2uGuFz0YfbJo546iEOztqJYWXrGinaU%2Ft4kO0PPnRk9a0huExLJuToSBN%2B12UnToY5cEfy%2BabPX92qyqeL5%2B9HW8%2BSs4dn6IQNOE%2BCpFRlanOmm6%2F9KQVlZAkE%2BK1syYVMtsWjqCjEMgzH0KjBqOUGYbo81c5bmLxmFNsF4Lgw%2BphgYCyOZb3Fd87hjIQWor0zDcjHKb4j7ybSVFBvOTKTbrFXCL6Tj%2BtmSTEG6r8McNwM1vxr20XUQ%2B2BrV9X6e2Zc3C%2BPLG7NcAIpAvYA2b22vHsN9J031wrkgHWptxHsUAIdADNq48yopuTYFB1R8rT63iJ0VAG5xHspyF5Z3XiyYWPd38L%2Fv%2Fy1obJy%2B0Xg0N1kE0hESgaSmXj7%2BBPyGvsNwOC3%2FmjAhTWSmBPj6bA%2FEquRmacKkW7lSepg0i4KCXrJ7wlD9%2F5a1n%2BAZppYzArR%2BA8bKh35zQ%3D%3D&rb=x#polycard_client=search-nordic&tracking_id=bcdf85fc-b08d-433b-9e5d-58f3bce899c9
Módulo ESP32-Cam-MB con cámara Ov2640 ESP de 32 Mb,8000.0,4.5,17,https://www.mercadolibre.com.co/modulo-esp32-cam-mb-con-camara-ov2640-esp-de-32-mb/p/MCO36063720#polycard_client=search-nordic&searchVariation=MCO36063720&position=4&search_layout=stack&type=product&tracking_id=bcdf85fc-b08d-433b-9e5d-58f3bce899c9&wid=MCO1540893833&sid=search
Tarjeta De Desarrollo Esp32 Wifi Bluetooth,4000.0,4.8,304,https://articulo.mercadolibre.com.co/MCO-585538233-tarjeta-de-desarrollo-esp32-wifi-bluetooth-_JM#polycard_client=search-nordic&position=7&search_layout=stack&type=item&tracking_id=bcdf85fc-b08d-433b-9e5d-58f3bce899c9
Módulo ESP32-Cam con cámara Ov2640,5000.0,4.4,5,https://www.mercadolibre.com.co/modulo-esp32-cam-con-camara-ov2640/p/MCO32809377#polycard_client=search-nordic&searchVariation=MCO32809377&position=5&search_layout=stack&type=product&tracking_id=bcdf85fc-b08d-433b-9e5d-58f3bce899c9&wid=MCO2387420914&sid=search
Pantalla Oled Display 0.96p Arduino Raspberry Arm Esp32 I2c,8400.0,4.7,28,https://articulo.mercadolibre.com.co/MCO-1432017497-pantalla-oled-display-096p-arduino-raspberry-arm-esp32-i2c-_JM#polycard_client=search-nordic&position=8&search_layout=stack&type=item&tracking_id=bcdf85fc-b08d-433b-9e5d-58f3bce899c9
Nodemcu Esp32 Wifi Ch340g Usb-c + Shield Placa Expansion 30p,600.0,4.8,40,https://articulo.mercadolibre.com.co/MCO-2182195972-nodemcu-esp32-wifi-ch340g-usb-c-shield-placa-expansion-30p-_JM#polycard_client=search-nordic&position=9&search_layout=stack&type=item&tracking_id=bcdf85fc-b08d-433b-9e5d-58f3bce899c9
Placa Desarrollo Esp32 C3 Super Mini Wifi Bluetooth Arduino,3600.0,4.6,14,https://articulo.mercadolibre.com.co/MCO-2659381690-placa-desarrollo-esp32-c3-super-mini-wifi-bluetooth-arduino-_JM#polycard_client=search-nordic&position=10&search_layout=stack&type=item&tracking_id=bcdf85fc-b08d-433b-9e5d-58f3bce899c9
Tarjeta De Desarrollo Esp32 Wifi Bluetooth,3054.0,4.8,282,https://articulo.mercadolibre.com.co/MCO-597176188-tarjeta-de-desarrollo-esp32-wifi-bluetooth-_JM#polycard_client=search-nordic&position=11&search_layout=stack&type=item&tracking_id=bcdf85fc-b08d-433b-9e5d-58f3bce899c9
Tarjeta De Desarrollo Esp32 Tipo C,6000.0,4.8,79,https://articulo.mercadolibre.com.co/MCO-1325137997-tarjeta-de-desarrollo-esp32-tipo-c-_JM#polycard_client=search-nordic&position=12&search_layout=stack&type=item&tracking_id=bcdf85fc-b08d-433b-9e5d-58f3bce899c9
